Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Hakeem Olajuwon\olajuha01,33,72,72,38.8,10.7,20.8,.514,0.0,0.2,.214,10.6,20.6,.517,.515,5.5,7.6,.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9
2,Clyde Drexler\drexlcl01,33,52,51,38.4,6.4,14.7,.433,1.5,4.5,.332,4.9,10.2,.478,.484,5.1,6.5,.784,1.9,5.3,7.2,5.8,2.0,0.5,2.6,2.9,19.3
3,Robert Horry\horryro01,25,71,71,37.1,4.2,10.3,.410,2.0,5.5,.366,2.2,4.8,.459,.507,1.6,2.0,.776,1.4,4.4,5.8,4.0,1.6,1.5,2.3,2.8,12.0
4,Mario Elie\eliema01,32,45,16,30.8,4.0,7.9,.504,0.9,2.8,.323,3.1,5.1,.604,.562,2.2,2.6,.852,1.0,2.4,3.4,3.1,1.0,0.2,1.3,2.1,11.1
5,Sam Mack\macksa01,25,31,20,28.0,3.9,9.3,.422,1.7,4.4,.400,2.2,4.9,.441,.516,1.3,1.5,.848,0.6,2.6,3.2,2.5,0.7,0.3,0.9,2.4,10.8
6,Sam Cassell\cassesa01,26,61,0,27.6,4.7,10.8,.439,1.2,3.4,.348,3.5,7.3,.482,.495,3.9,4.7,.825,0.8,2.2,3.1,4.6,0.9,0.1,2.6,2.7,14.5
7,Chucky Brown\brownch01,27,82,82,24.6,3.7,6.8,.541,0.0,0.1,.125,3.6,6.7,.547,.541,1.3,1.8,.693,1.6,3.7,5.4,1.1,0.6,0.5,1.1,2.0,8.6
8,Kenny Smith\smithke01,30,68,56,23.8,3.0,6.8,.433,1.3,3.5,.382,1.6,3.3,.487,.531,1.3,1.6,.821,0.3,1.1,1.4,3.6,0.7,0.0,1.5,1.7,8.5
9,Tracy Moore\mooretr01,30,8,2,23.8,3.8,9.5,.395,1.6,3.8,.433,2.1,5.8,.370,.480,2.3,2.4,.947,1.3,1.5,2.8,0.8,0.3,0.0,1.0,2.0,11.4
10,Mark Bryant\bryanma01,30,71,9,22.4,3.4,6.3,.543,0.0,0.0,.000,3.4,6.3,.545,.543,1.8,2.5,.718,1.8,3.1,4.9,0.7,0.4,0.3,1.2,3.3,8.6
11,Eldridge Recasner\recasel01,28,63,27,20.2,2.4,5.7,.415,1.3,3.0,.424,1.1,2.7,.405,.528,0.9,1.0,.864,0.5,1.8,2.3,2.7,0.4,0.1,1.0,1.8,6.9
12,Melvin Booker\bookeme01,23,11,0,11.9,1.5,4.5,.320,0.3,1.7,.158,1.2,2.8,.419,.350,0.8,1.0,.818,0.1,0.7,0.8,1.9,0.5,0.1,1.1,1.6,4.0
13,Tim Breaux\breauti01,25,54,4,10.6,1.1,3.0,.366,0.3,0.9,.326,0.8,2.1,.383,.413,0.5,0.8,.622,0.4,0.7,1.1,0.4,0.2,0.1,0.6,0.8,3.0
14,Pete Chilcutt\chilcpe01,27,74,0,8.8,1.0,2.4,.408,0.5,1.3,.378,0.5,1.1,.444,.511,0.2,0.4,.654,0.7,1.4,2.1,0.4,0.3,0.2,0.3,0.9,2.7
15,Jaren Jackson\jacksja01,28,4,0,8.3,0.0,2.0,.000,0.0,1.3,.000,0.0,0.8,.000,.000,2.0,2.5,.800,0.0,0.8,0.8,0.0,0.3,0.0,0.0,1.3,2.0
16,Henry James\jameshe01,30,7,0,8.3,1.4,3.4,.417,0.7,2.1,.333,0.7,1.3,.556,.521,0.7,0.7,1.000,0.4,0.4,0.9,0.3,0.0,0.0,0.6,1.9,4.3
17,Charles Jones\jonesch01,38,46,0,6.5,0.1,0.4,.316,0.0,0.0,,0.1,0.4,.316,.316,0.1,0.3,.308,0.6,1.0,1.6,0.3,0.1,0.5,0.1,1.0,0.3
18,Alvin Heggs\heggsal01,28,4,0,3.5,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.5,0.8,.667,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,2.0
